	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
ausschreibungs-software	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Im Umgang mit CAD- und Ausschreibungs-Software sowie dem MS-Office-Paket sind Sie versiert.
ausschreibungsprogrammen	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Hottgenroth), CAD Systemen und Ausschreibungsprogrammen, ORCA, AUTOCAD
ava-software	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								gute bis sehr gute EDV-Kenntnisse: MS-Office und AVA-Software
bau-ausschreibungsprogramm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								In Ihrer Arbeit nutzen Sie modernste CAD-Planungstools, außerdem wenden Sie das MS Office-Paket und Bau-Ausschreibungsprogramme sicher an.
datenverwaltungssystem	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Wünschenswert wären bereits Kenntnisse im Umgang mit kundenseitigen Datenverwaltungssystemen wie PRISMA (BMW) oder KVS (VW/Audi).  Wünschenswert wären bereits vorhandene Kenntnisse im Umgang mit kundenseitigen Datenverwaltungssystemen wie Prisma (BMW) oder KVS (VW/Audi).
ebydos	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Zusätzlich übernehmen Sie die Aufgabe der Bestellabwicklung und sachliche Rechnungsprüfung von Fremdleistungen in SAP und Ebydos.
ecc	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse und mehrjährige Erfahrung in der Administration/Beratung von SAP-Systemen (ECC 6.0 Automotive, DB 2)  Administration der SAP-Systeme (ECC 6.0 Automotive, DB 2)
ecc6	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Auftragsbearbeitung mit SAP CRM und ECC6
energiedatenerfassungssystem	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Erfahrung im Umgang mit Energiedatenerfassungssystemen und Hochspannungstechnik ist von Vorteil
engineeringtool	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Verfügen Sie über ein tragfähiges Anwenderwissen in Bürosoftware und Engineeringtools?
etax-lohnportal	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse in Eurodata und ETAX-Lohnportal sind wünschenswert
gehaltsprogramm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse im Gehaltsprogramm P+I Loga (kein Muss)
hausverwaltungsprogramm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								EDV/PC-Kenntnisse (Word, Excel; Erfahrung im Umgang mit dem Hausverwaltungsprogramm Karthago von Vorteil)
kidicap	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								* Kenntnise in den Tarifwerken BAT, TVöD & TVÜ-VKA gerne Erfahrung mit SAP-HR und Kidicap
mm/pp/ps	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								MS Office-, MS -Projekt und SAP (MM/PP/PS) Kenntnisse
peoplesoft	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Perform data look up as well as data entry in various HR administration systems (Remedy, PeopleSoft, SAP, etc.)
persis	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse in Paisys und Persis sind von Vorteil
personalsoftware-programmen	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Gute MS-Office-Kenntnisse und Erfahrungen in Personalsoftware-Programmen
sap-co	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Vertiefte Anwenderkenntnisse in SAP-CO und MS-Excel
sap-erp-system	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Erfahrung im SAP-ERP-System sowie in MS Office wünschenswert.
php+mysql	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Kenntnisse im Umgang mit PHP+MySql, JavaScript
php4/php5	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Fundierte Kenntnisse in PHP4/PHP5 (OOP) sowie MySQL
php5	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
PHP-Frameworks	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
php-technologie	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								E-Commerce-Projekte auf Basis von PHP-Technologien und Magento betreuen
phyton	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Kenntnisse in der Programmiersprache (C, C++, Phyton o.ä.)
programmiersprach	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
programmiersprache	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
programmiersprachen/-technik	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Kenntnisse und praktische Erfahrungen in Programmiersprachen/-techniken (Java, .NET, SQL) und Netzwerken (TCP/IP, Loadbalancer, Firewall)    Kenntnisse und praktische Erfahrungen in Programmiersprachen/-techniken (Java, .NET, SQL) und Netzwerken (TCP/IP, Loadbalancer, Firewall)
python	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
rexx	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Skriptsprachen REXX, shell und DOS, ausreichende Kenntnisse von JCL, CLIST und PROCs für den SAS Einsatz unter z/OS
ruby	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
ruby-on-rails	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
scala	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Wünschenswert sind Kenntnisse in Scala  Scala, Groovy oder Jython
scriptsprache	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Erfahrung im Umgang mit GNU/Unix Tools, Scriptsprachen und Serverdiensten    Gute Kenntnisse in XML, XSLT, Eclipse, Java sowie Scriptsprachen wie Perl, Ruby    Sehr gute Kenntnisse der Programmierung unter Linux (C/C++, Scriptsprachen)
skiptsprache	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Kenntnisse in Skiptsprachen, ideal auch in Java und C++
skriptprogrammierung	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								Erfahrung in Skriptprogrammierung (Shell, Perl, Python)    Kenntnisse in Skriptprogrammierung (Shell, Perl oder andere Skriptsprachen)
skriptsprache	(5Q) Programmiersprachen	(5Q)	Programmiersprachen								NA
sps-programmiersprachen	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
step 7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
freisprechanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Die Entwicklungen auf dem Gebiet moderner Fahrzeuge zeichnen sich durch komplexe, IT-gestützte Einrichtungen wie Freisprechanlagen, Navigations- und Telefonsysteme sowie Unterhaltungselektronik aus.
funk	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Sprach- und Wortgewandtheit am Funk und Telefon  Wir arbeiten in unseren Abteilungen mit Segeltechnik, Motorboot-Technik, Funktionsbekleidung, Schuhen, Anker, Tauwerk, Rettungswesten, Farben, Bootspflege, Bücher, Seekarten, Elektronik (Funk, Radar, GPS), Bootselektrik, Bordfahrrädern, Ferngläsern, Wetterstationen ...  Dienstleistungsfreundliche Kommunikation mit Bürgern und unseren Partnern am Funk und Telefon
handy	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								begeistert bist von der Welt der Elektronik ( PC, Hifi, Handy, DVD, CD ...),    Zusatzleistungen: Firmenwagen mit privater Nutzung, Unterkunft, Laptop, Handy, Arbeitskleidung sowie Arbeitsmaterialien    Erfahrung im Umgang mit Handy bzw. PDA
handys	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Sie bringen Teamgeist und Einsatzwillen mit und begeistern sich für die Welt der Elektronik (Computer, Handys, MP3 etc.).
mobiltelefon	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Bei FLIP4NEW können Kunden gebrauchte Elektronikgeräte wie z. B. Mobiltelefone, Digitalkameras oder Notebooks schnell und unkompliziert gegen Neugeräte, Gutscheine oder Bargeld tauschen, Zeit und Geld sparen und helfen, die Umwelt durch das Vermeiden von elektronischem Abfall zu schonen.  Sie zeichnet ein einwandfreies gepflegtes Auftreten und einschlägige Kenntnisse im Bereich Mobiltelefone und Telefonanlagen aus, sowie ggf.  Verkäufer m/w für Mobiltelefone und Telefonanlagen
patientenrufanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								NA
richtfunkanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Montage von Richtfunkanlagen und Systemtechnik
rufanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Installation von Haustechnik, Rufanlagen, Gebäudeleittechnik und Kommunikation.
sprechanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								NA
türsprechanlage	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Zu Ihrem Aufgabengebiet gehört ebenso der Gebäudeunterhalt sowie die Überprüfung und Wartung aller elektrischen Geräte (Schalter, Beleuchtung, Sicherungen, Türsprechanlagen, etc.).
firmenmobiltelefon	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Bei der bundesweiten Montage werden Firmenwagen, Firmenmobiltelefon und Werkzeug gestellt.
i-phone	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								(GSM, GPRS, HSDPA, Mobile Applikationen für PDA, HTC Smartphone, Apple I-Phone, BlackBerry und PC) und IP-Technologien (IP-VPN und Konfiguration dieser Technologien sowie Kenntnisse im Bereich WindowsMobile.
lichtrufsystem	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Sicherheitstechnik, Melde- und Lichtrufsysteme, EDV- und Netzwerktechnik gehören ebenso zu unserem Angebot wie unser geschütztes Kommunikationssystem ¿Customer Care¿.
mobilfunkgerät	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Sie sind Elektroniker mit sehr guten Kenntnissen im Bereich Mobilfunkgeräte, auch für Quereinsteiger mit entsprechenden Vorkenntnissen möglich
mobilgerät	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Zu Ihren Aufgaben als Maschinenbediener/in gehören die sachgerechte Nutzung und Sicherstellung der Verfügbarkeit von Maschinen und Mobilgeräten.
rundfunkgerät	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Darüber hinaus bieten sich zahlreiche weitere Tätigkeitsfelder, z.B. im Maschinen- und Werkzeugbau oder bei Herstellern von Büromaschinen und Rundfunkgeräten.  Darüber hinaus bieten sich zahlreiche weitere Tätigkeitsfelder, z.B. im Maschinen- und Werkzeugbau oder bei Herstellern von Büromaschinen und Rundfunkgeräten.  Darüber hinaus bieten sich zahlreiche weitere Tätigkeitsfelder, z.B. im Maschinen- und Werkzeugbau oder bei Herstellern von Büromaschinen und Rundfunkgeräten.
smartphon	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Kenntnisse im Umgang mit Internet und Smartphone Anwendungen
smartphone	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Smartphone und Tablet Support handelsüblicher Hersteller  gewisse Erfahrungen oder Kenntnisse mit Laptops, Blackberrys und Smartphone  Als SAP-Partner entwickeln wir Erweiterungen zu SAP BW, sowie mobile Lösungen auf Tablets und Smartphones wie iPad und iPhone.  Smartphone und Tablet Support handelsüblicher Hersteller  Gute Kenntnisse im Umgang von Smartphone und BlackBerry  Als SAP-Partner entwickeln wir Erweiterungen zu SAP BW, sowie mobile Lösungen auf Tablets und Smartphones wie iPad und iPhone.
smartphones	(6B) Handy, Funkgerät, Personenrufgerät	(6B)	Handy, Funkgerät, Personenrufgerät								Mit unserer Kenntnis über Trends, Technik und Modelle sind wir eine der wichtigsten Online-Quellen rund um Notebooks, Smartphones und Tablets.
digitaldrucker	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								NA
kopierer	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								Drucker, Multifunktionsgeräte und Kopierer, sowie Auslieferung und Montage von Büromöbeln.
kopiergerät	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								Erfahrung im Bereich Computer, Netzwerktechnik und Kopiergeräte ist wünschenswert.
laserdrucker	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								Die m2solution EDV-Service GmbH mit Standort in Ahrensbök sucht zum nächstmöglichen Zeitpunkt für mehrere Standorte in Deutschland einen Servicetechniker für Hardwarereparaturen im Außendienst für PC¿s, Notebooks und Laserdrucker.  Die m2solution EDV-Service GmbH mit Standort in Ahrensbök sucht zum nächstmöglichen Zeitpunkt für mehrere Standorte in Deutschland Servicetechniker/in für Hardwarereparaturen im Außendienst für PC¿s, Notebooks und Laserdrucker.
printer	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								abgeschlossene IT Ausbildung oder tiefe IT Kenntnisse im Notebook, Desktop, Printer oder Serverbereich
schablonendrucker	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								sicherer Umgang mit komplexer Fertigungstechnik ( Bestückungsautomaten, Schablonendrucker, Handlingstechnik, Reflowofen)
digitalkopierer	(6C) Drucker, Kopierer	(6C)	Drucker, Kopierer								Zum nächstmöglichen Termin suchen wir eine/n Vertriebsmitarbeiter/in für den Verkauf unserer Produkte (Digitalkopierer und Drucker)
drucker	(6C)Drucker, Kopierer	(6C)D	rucker, Kopierer								NA
audacitiy	(5J) Multimedia-SW	(5J)	Multimedia-SW	Software zum Audiorecording und -bearbeitung							Kenntnisse in Audioeditoren (Audacitiy / Syntrilium Cool Edit / Adobe Audition )
audioeditor	(5J) Multimedia-SW	(5J)	Multimedia-SW								Kenntnisse in Audioeditoren (Audacitiy / Syntrilium Cool Edit / Adobe Audition )
beamer	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								NA
digitalkamera	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Bei FLIP4NEW können Kunden gebrauchte Elektronikgeräte wie z. B. Mobiltelefone, Digitalkameras oder Notebooks schnell und unkompliziert gegen Neugeräte, Gutscheine oder Bargeld tauschen, Zeit und Geld sparen und helfen, die Umwelt durch das Vermeiden von elektronischem Abfall zu schonen.
diktiersystem	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Neben Beratung , Planung und Bedarfsanalyse zur Anschaffung neuer Bürogeräte wie Netzwerke, Computer , Kopierer, Drucker, Faxgeräte und Diktiersysteme ist einer der wichtigsten Bestandteile unserer Anstrengungen die technische Betreuung unserer Kunden für Reparaturen und vorbeugende Wartungsarbeiten der Bürogeräte, auch wenn sie nicht bei uns erworben wurden
kamera	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								NA
monit	(4E) Peripheriegeräte (Scanner, Plotter, Bildschirm)	(4E)	Peripheriegeräte (Scanner, Plotter, Bildschirm)								Nagios, Monit und Munin
netzwerkkamera	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Montage, Service und Installation von Datennetzen, Einrichten von Routern, Switch und Netzwerkkamera, Durchführung von
Projektor	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								NA
videoanlage	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Zur Erweiterung unseres Teams suchen wir ab sofort in Vollzeit eine/n Elektriker/in mit Ausbildung im Bereich und Pkw-Führerschein für die Installation und Montage von Alarmanlagen, Videoanlagen und Zutrittskontrollen.  Installation, Programmierung und Inbetriebnahme von Einbruchmeldeanlagen, Brandmeldeanlagen, Zutrittskontrollsystemen sowie Videoanlagen unter Berücksichtigung der technischen Vor-schriften (VdS, etc.)
videorekorder	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Multimedia-Geräten (Fernseher, Videorekorder, Tuner, zentraler Server ...)
bildverarbeitungs-kamera	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Unsere Sensoren, Laserscanner und Bildverarbeitungs-Kameras überwachen die Qualität von pharmazeutischen Produkten im In- und Ausland.
depo-cam	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								Erfahrungen im Umgang mit Depo-CAM und Heidenhain-Steuerung sind von Vorteil
fotoapparat	(6D) Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)	(6D)	Aufnahmegeräte (Diktiergerät, Videokamera etc.), Wiedergabegeräte (OHP, Beamer...)								für Nähmaschinen, Fotozubehör (Kamera, Fotoapparate und v. m.)
asterisk	(6E) Telefonanlagen/ Fax	(6E)	Telefonanlagen/ Fax	eigentlich Software die Funktionalitäten einer Telefonanlage bietet							Idealerweise haben Sie bereits fundierte Kenntnisse im Bereich VoIP (Asterisk oder vergleichbare Systeme).
auerswald/agfeo	(6E) Telefonanlagen/ Fax	(6E)	Telefonanlagen/ Fax								Telefonanlagen (Auerswald/Agfeo).
breitbandkommunikationsanlage	(6E) Telefonanlagen/ Fax	(6E)	Telefonanlagen/ Fax								Installation, Wartung und Reparatur von Energieverteilungsanlagen, Beleuchtungsanlagen, Antennen- und Breitbandkommunikationsanlagen sowie Industrieanlagen
